Date,AAL,AZN,BATS.L,BHP,BP,CRH,DGE,EXPN.L,GSK,HSBA.L,LSE,NG,PRU,RB.L,RDS-B,RDSA.AS,REL.L,RIO,ULVR.L,VOD
2018-04-24,44.618133544921875,32.659629821777344,3155.51904296875,40.12932586669922,36.989349365234375,32.463321685791016,827.1799926757812,1561.1312255859375,35.95524215698242,622.0458984375,,4.800000190734863,95.11186981201172,5099.0458984375,63.726402282714844,25.17905044555664,1440.7596435546875,44.99191665649414,3590.34912109375,25.509641647338867
2018-04-25,44.18846130371094,32.817718505859375,3244.85791015625,39.859375,36.930816650390625,33.374473571777344,821.510009765625,1552.9903564453125,34.61045837402344,621.8712158203125,,4.78000020980835,94.7834243774414,5146.82373046875,63.76981735229492,24.97730827331543,1435.6605224609375,44.6282958984375,3599.50830078125,25.287370681762695
2018-04-26,41.37602233886719,32.827022552490234,3342.20361328125,39.99435043334961,37.49937438964844,33.43083190917969,831.1699829101562,1565.9197998046875,35.56595993041992,620.2113647460938,,4.71999979019165,95.15626525878906,5200.2216796875,62.988426208496094,24.84424591064453,1452.841552734375,44.99191665649414,3621.0322265625,25.586580276489258
2018-04-27,42.381858825683594,33.096702575683594,3396.987060546875,39.251991271972656,36.972633361816406,33.47780227661133,835.6500244140625,1597.5255126953125,35.88446807861328,628.685791015625,,4.75,95.53800201416016,5300.4599609375,62.74532699584961,24.85712242126465,1466.52978515625,44.555572509765625,3710.3330078125,25.227529525756836
2018-04-30,41.92288589477539,33.04090118408203,3370.438232421875,39.43758010864258,37.281986236572266,33.21479034423828,824.280029296875,1596.5677490234375,35.48634338378906,633.7530517578125,,4.78000020980835,94.3839340209961,5341.67919921875,62.87554931640625,24.904340744018555,1467.473876953125,44.40204620361328,3734.604248046875,25.142044067382812
2018-05-01,42.34279251098633,33.60816955566406,3286.998779296875,39.0579719543457,37.45756149291992,33.14903259277344,827.989990234375,1619.5538330078125,35.42441177368164,636.985595703125,,4.900000095367432,94.197509765625,5267.671875,62.11152648925781,,1473.6099853515625,44.08690643310547,3720.86572265625,24.90267562866211
2018-05-02,41.24907302856445,33.05020523071289,3303.433349609375,39.606300354003906,37.37396240234375,33.47780227661133,816.4500122070312,1617.6383056640625,34.95550537109375,637.5971069335938,,4.920000076293945,89.8653564453125,5264.861328125,62.28517150878906,24.814197540283203,1473.6099853515625,44.4586067199707,3663.6220703125,24.894128799438477
2018-05-03,41.12212371826172,33.31058883666992,3285.313232421875,40.196807861328125,37.39904022216797,33.684452056884766,807.9400024414062,1617.6383056640625,35.03512954711914,630.1710205078125,,4.960000038146973,86.64289093017578,5208.6533203125,62.71059036254883,24.848539352416992,1468.889892578125,44.814144134521484,3652.91650390625,24.782991409301758
2018-05-04,41.85452651977539,33.087398529052734,3276.885009765625,40.71982955932617,37.90906524658203,33.881710052490234,811.6599731445312,1632.96240234375,35.229766845703125,624.142822265625,,5.019999980926514,89.3593521118164,5365.099609375,63.00578689575195,25.14470863342285,1484.4661865234375,44.94343185424805,3676.93115234375,24.66330909729004
2018-05-07,41.54130172729492,33.450077056884766,,40.36552429199219,38.20170593261719,34.0789680480957,816.6599731445312,,35.25630569458008,,,4.75,89.21731567382812,,63.00578689575195,25.39796257019043,,44.8303108215332,,24.654760360717773
